Date,S,E,I,R,All exposed,Daily exposed,Daily admissions,Daily remissions,Daily deaths,All admissions,All remissions,All deaths,Active cases
2020-06-09,61337902.0929119,179711.7413071989,74980.03687885017,4807407.128902038,5062098.907088087,37048.99283978157,1856.3358925781968,1620.7643635837603,430.5570015905894,203373.6608296917,150283.46057543234,34987.46449616877,18102.735758090595
2020-06-10,61301377.59659328,177531.0329451869,74134.69509062635,4846957.675370881,5098623.4034066945,36524.49631860759,1835.329113500554,1603.7353551219246,426.3328132027581,205208.98994319225,151887.19593055427,35413.79730937153,17907.99670326645
2020-06-11,61265317.7349655,175344.52721421694,73310.52307003348,4886028.214750231,5134683.265034482,36059.86162778735,1814.3934994385788,1586.7230843660495,422.10422547139785,207023.38344263085,153473.9190149203,35835.90153484293,17713.56289286761
2020-06-12,61229664.88111073,173230.48910446305,72425.19682164467,4924680.432963147,5170336.1188892545,35652.853854772635,1793.529707383812,1569.7314145655866,417.8725974818006,208816.91315001465,155043.6504294859,36253.77413232473,17519.488588204025
2020-06-13,61194427.77839013,171172.9469065993,71496.23830847253,4962904.0363947805,5205573.221609852,35237.10272059776,1772.733654423452,1552.7641984400755,413.639247012034,210589.6468044381,156596.41462792596,36667.413379336766,17325.818797175365
2020-06-14,61159673.417372204,169073.20595246088,70628.85975833143,5000625.516916982,5240327.582627774,34754.36101792194,1752.0163892330556,1535.8252960964,409.4054587049536,212341.66319367115,158132.23992402235,37076.81883804172,17132.604431607084
2020-06-15,61125411.001444094,166914.39281269806,69841.60961162619,5037833.996131556,5274589.99855588,34262.415928105824,1731.3963091252617,1518.9187425765072,405.17248709536545,214073.05950279642,159651.15866659884,37481.99132513708,16939.90951106049
2020-06-16,61091555.55607303,164813.112824354,69011.26268239859,5074621.068420191,5308445.4439269435,33855.445371063426,1710.8760669479484,1502.0488353645756,400.94156190224385,215783.93556974435,161153.20750196342,37882.93288703932,16747.79518074161
2020-06-17,61058079.71188253,162804.17499909244,68101.3494371985,5111015.7636811575,5341921.288117449,33475.84419050533,1690.4443821548125,1485.2200395670588,396.71389930944326,217474.37995189917,162638.4275415305,38279.64678634876,16556.305624019922
2020-06-18,61025020.40516773,160831.0761098232,67172.36963058324,5146977.149091841,5374980.594832247,33059.306714798324,1670.1027696570227,1468.4369562383756,392.49070955527475,219144.48272155618,164106.86449776887,38672.13749590404,16365.480727883274
